	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	122	122	326	53	350	302	59	302	59
TN	1325	1310	1216	1331	1254	1205	1298	1205	1298
FP	15	29	124	9	86	135	42	135	42
FN	1573	1573	1369	1642	1345	1393	1636	1393	1636
PPV	0.89051094890511	0.80794701986755	0.724444444444444	0.854838709677419	0.802752293577982	0.691075514874142	0.584158415841584	0.691075514874142	0.584158415841584
NPV	0.457211870255349	0.454387790496011	0.470406189555126	0.447695930037	0.482493266641016	0.463818321785989	0.442399454669393	0.463818321785989	0.442399454669393
Sensitivity	0.071976401179941	0.071976401179941	0.192330383480826	0.0312684365781711	0.206489675516224	0.178171091445428	0.0348082595870206	0.178171091445428	0.0348082595870206
Specificity	0.988805970149254	0.978342046303211	0.907462686567164	0.993283582089552	0.935820895522388	0.899253731343284	0.96865671641791	0.899253731343284	0.96865671641791
F1_score	0.133187772925764	0.132177681473456	0.303962703962704	0.0603301081388731	0.328484279680901	0.283302063789869	0.0657015590200445	0.283302063789869	0.0657015590200445
MCC	0.145380251457498	0.114892473114132	0.139444408161871	0.0861848949752877	0.201478183833869	0.109510857244724	0.00959282982558349	0.109510857244724	0.00959282982558349
AUC_PR	0.74519521107871	0.723455487648392	0.686329555100846	0.720797577733468	0.73570602859319	0.64839337601341	0.637540027363008	0.64839337601341	0.637540027363008
