	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	119	115	340	65	340	321	62	321	62
TN	1325	1313	1212	1330	1255	1203	1296	1203	1296
FP	15	27	128	10	85	137	44	137	44
FN	1576	1580	1355	1630	1355	1374	1633	1374	1633
PPV	0.888059701492537	0.809859154929577	0.726495726495726	0.866666666666667	0.8	0.700873362445415	0.584905660377358	0.700873362445415	0.584905660377358
NPV	0.456739055498104	0.453854130660214	0.472146474483833	0.449324324324324	0.480842911877395	0.466821885913853	0.442471833390236	0.466821885913853	0.442471833390236
Sensitivity	0.0702064896755162	0.0678466076696165	0.200589970501475	0.0383480825958702	0.200589970501475	0.189380530973451	0.0365781710914454	0.189380530973451	0.0365781710914454
Specificity	0.988805970149254	0.979850746268657	0.904477611940299	0.992537313432836	0.936567164179104	0.897761194029851	0.967164179104478	0.897761194029851	0.967164179104478
F1_score	0.130125751776927	0.125204137180185	0.314378178455848	0.0734463276836158	0.320754716981132	0.298188574082675	0.0688506385341477	0.298188574082675	0.0688506385341477
MCC	0.142644392790396	0.112153581846507	0.144467490556994	0.0987902166120716	0.196264130926805	0.120885289497456	0.010122063483551	0.120885289497456	0.010122063483551
