	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	61	74	195	38	157	184	27	184	27
TN	2296	2261	2056	2316	2143	2033	2248	2033	2248
FP	51	86	291	31	204	314	99	314	99
FN	627	614	493	650	531	504	661	504	661
PPV	0.544642857142857	0.4625	0.401234567901235	0.550724637681159	0.434903047091413	0.369477911646586	0.214285714285714	0.369477911646586	0.214285714285714
NPV	0.785494355114608	0.786434782608696	0.806590819929384	0.780849629130142	0.801421091997008	0.801340165549862	0.772774149192162	0.801340165549862	0.772774149192162
Sensitivity	0.0886627906976744	0.107558139534884	0.28343023255814	0.0552325581395349	0.228197674418605	0.267441860465116	0.0392441860465116	0.267441860465116	0.0392441860465116
Specificity	0.978270132083511	0.963357477631018	0.876011930123562	0.986791648913507	0.913080528334043	0.866212185769067	0.957818491691521	0.866212185769067	0.957818491691521
F1_score	0.1525	0.174528301886792	0.332197614991482	0.100396301188904	0.299332697807436	0.310286677908938	0.0663390663390663	0.310286677908938	0.0663390663390663
MCC	0.148650760291445	0.132865961565614	0.182033319191507	0.118042982179961	0.182722329334646	0.15109774051007	-0.00616517242900222	0.15109774051007	-0.00616517242900222
