	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	56	91	191	30	128	170	29	169	29
TN	2299	2260	2058	2315	2190	2063	2246	2069	2247
FP	48	87	289	32	157	284	101	278	100
FN	632	597	497	658	560	518	659	519	659
PPV	0.538461538461538	0.51123595505618	0.397916666666667	0.483870967741935	0.449122807017544	0.374449339207048	0.223076923076923	0.378076062639821	0.224806201550388
NPV	0.784373933810986	0.791039551977599	0.805479452054795	0.778674739320552	0.796363636363636	0.799302595893065	0.773149741824441	0.799459041731066	0.773227804542326
Sensitivity	0.0813953488372093	0.132267441860465	0.277616279069767	0.0436046511627907	0.186046511627907	0.247093023255814	0.0421511627906977	0.245639534883721	0.0421511627906977
Specificity	0.97954835960801	0.962931401789519	0.876864081806562	0.986365573072007	0.933106092884534	0.87899446101406	0.956966340008522	0.881550916063059	0.957392415850021
F1_score	0.141414141414141	0.210161662817552	0.327054794520548	0.08	0.263103802672148	0.297723292469352	0.0709046454767726	0.297797356828194	0.0709914320685435
MCC	0.14026685602077	0.169635723635466	0.177258866692011	0.0887048685955072	0.171027334368993	0.14801332502108	-0.00182481715855439	0.150268992090241	-0.000947270611547601
