	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	75	80	180	42	156	166	24	157	22
TN	2274	2262	2066	2305	2120	2050	2247	2058	2250
FP	73	84	281	42	227	297	100	289	97
FN	613	608	508	646	532	522	664	531	666
PPV	0.506756756756757	0.48780487804878	0.390455531453362	0.5	0.407310704960835	0.3585313174946	0.193548387096774	0.352017937219731	0.184873949579832
NPV	0.787668860408729	0.78815331010453	0.802641802641803	0.781091155540495	0.799396681749623	0.797045101088647	0.771899690827894	0.794901506373117	0.771604938271605
Sensitivity	0.109011627906977	0.116279069767442	0.261627906976744	0.061046511627907	0.226744186046512	0.241279069767442	0.0348837209302326	0.228197674418605	0.0319767441860465
Specificity	0.968896463570516	0.964194373401535	0.88027268853856	0.982104814657009	0.903280783979548	0.873455475074563	0.957392415850021	0.876864081806562	0.958670643374521
F1_score	0.179425837320574	0.187793427230047	0.31331592689295	0.10880829015544	0.291316526610644	0.288444830582103	0.0591133004926108	0.27689594356261	0.0545229244114002
MCC	0.151453418302281	0.14902115813323	0.165531346579799	0.110133810287904	0.163942434290798	0.13360385314166	-0.0163362884428865	0.124240149579308	-0.0201751355598569
AUC_PR	0.398904863170782	0.37369910909556	0.336969406034631	0.373927016419037	0.361291312246295	0.303683770476866	0.277781038000683	0.301876749824986	0.274036706798773
