	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	74	60	191	43	161	149	47	163	38
TN	2275	2268	2059	2307	2107	2057	2237	2043	2241
FP	72	79	288	40	240	290	110	304	106
FN	614	628	497	645	527	539	641	525	650
PPV	0.506849315068493	0.431654676258993	0.39874739039666	0.518072289156627	0.401496259351621	0.339407744874715	0.299363057324841	0.349036402569593	0.263888888888889
NPV	0.787469712703358	0.783149171270718	0.805555555555556	0.78150406504065	0.799924069855733	0.792372881355932	0.777275886031967	0.795560747663551	0.775164303009339
Sensitivity	0.107558139534884	0.0872093023255814	0.277616279069767	0.0625	0.234011627906977	0.21656976744186	0.0683139534883721	0.236918604651163	0.0552325581395349
Specificity	0.969322539412015	0.966340008521517	0.877290157648061	0.982956966340009	0.897741798040051	0.876438005965062	0.953131657435023	0.870472944184065	0.954835960801023
F1_score	0.177458033573141	0.145102781136638	0.327335047129392	0.111543450064851	0.295684113865932	0.264418811002662	0.111242603550296	0.282251082251082	0.0913461538461538
MCC	0.150424222391512	0.107250165512792	0.177898401815229	0.116695467988299	0.162904322927438	0.110709632028484	0.0405409541181537	0.124613449999177	0.0198294680290858
AUC_PR	0.399106485635475	0.361901622738678	0.348326256975404	0.374968124330171	0.360961147079746	0.311287440536358	0.289658853674856	0.317992907025845	0.284924206154239
