	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	111	121	236	72	162	178	39	141	24
TN	1832	1849	1663	1849	1783	1678	1829	1711	1842
FP	75	58	244	58	124	229	78	196	65
FN	1017	1007	892	1056	966	950	1089	987	1104
PPV	0.596774193548387	0.675977653631285	0.491666666666667	0.553846153846154	0.566433566433566	0.437346437346437	0.333333333333333	0.41839762611276	0.269662921348315
NPV	0.643032643032643	0.647408963585434	0.650880626223092	0.636488812392427	0.6485994907239	0.638508371385084	0.626799177518849	0.634173461823573	0.625254582484725
Sensitivity	0.0984042553191489	0.107269503546099	0.209219858156028	0.0638297872340425	0.143617021276596	0.157801418439716	0.0345744680851064	0.125	0.0212765957446809
Specificity	0.960671211326691	0.969585736759308	0.872050340849502	0.969585736759308	0.934976402726796	0.879916098584164	0.959098059779759	0.89722076560042	0.965915049816466
F1_score	0.168949771689498	0.185156847742923	0.293532338308458	0.114467408585056	0.229137199434229	0.231921824104235	0.0626506024096386	0.192491467576792	0.0394412489728841
MCC	0.119023950429681	0.157651375438794	0.107632926471644	0.0797505023878773	0.13000070859777	0.053488830980629	-0.0158827084176664	0.0341784994169184	-0.0366869712054006
