	Degree	Closeness	Betweenness	PageRank	Eigenvector	s_av_Edge_Betweenness	i_av_Edge_Betweenness	w_av_Edge_Betweenness	b_av_Edge_Betweenness
TP	83	117	292	50	229	282	48	282	48
TN	1878	1864	1713	1888	1775	1691	1829	1691	1829
FP	29	43	194	19	132	216	78	216	78
FN	1045	1011	836	1078	899	846	1080	846	1080
PPV	0.741071428571429	0.73125	0.60082304526749	0.72463768115942	0.634349030470914	0.566265060240964	0.380952380952381	0.566265060240964	0.380952380952381
NPV	0.64249059185768	0.648347826086957	0.672028246371126	0.636547538772758	0.663799551234106	0.666535277887268	0.62873839807494	0.666535277887268	0.62873839807494
Sensitivity	0.0735815602836879	0.103723404255319	0.25886524822695	0.0443262411347518	0.203014184397163	0.25	0.0425531914893617	0.25	0.0425531914893617
Specificity	0.984792868379654	0.97745149449397	0.898269533298374	0.990036706869428	0.930781331934976	0.88673308862087	0.959098059779759	0.88673308862087	0.959098059779759
F1_score	0.133870967741935	0.18167701863354	0.36183395291202	0.0835421888053467	0.307588985896575	0.346863468634686	0.076555023923445	0.346863468634686	0.076555023923445
MCC	0.149633598498152	0.175538642748709	0.207061411423125	0.111406413336072	0.199727172495177	0.178413870717095	0.00400023888882022	0.178413870717095	0.00400023888882022
