	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	234	242	713	125	647
TN	2088	2063	1852	2109	1963
FP	39	63	275	18	164
FN	2751	2743	2272	2860	2338
PPV	0.857142857142857	0.79344262295082	0.72165991902834	0.874125874125874	0.797780517879161
NPV	0.431494110353379	0.429255097794424	0.449078564500485	0.424431475145905	0.456405487096024
Sensitivity	0.078391959798995	0.08107202680067	0.238860971524288	0.0418760469011725	0.216750418760469
Specificity	0.981664315937941	0.970366886171214	0.870709920075223	0.991537376586742	0.922896097790315
F1_score	0.143646408839779	0.147112462006079	0.358922728416813	0.079923273657289	0.340885142255005
MCC	0.131660401441842	0.107029569168765	0.136777073629325	0.099879042579748	0.18840432625273
