	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	225	307	754	121	475
TN	2083	2063	1907	2104	1988
FP	44	63	220	23	139
FN	2760	2678	2231	2864	2510
PPV	0.836431226765799	0.82972972972973	0.774127310061602	0.840277777777778	0.773615635179153
NPV	0.430105306628123	0.435140265766716	0.460850652489125	0.423510466988728	0.441974210760338
Sensitivity	0.0753768844221105	0.10284757118928	0.252596314907873	0.040536013400335	0.159128978224456
Specificity	0.979313587212036	0.970366886171214	0.896567936060179	0.989186647860837	0.93464974141984
F1_score	0.138291333743085	0.18301043219076	0.380904268754736	0.0773410035155002	0.263962211725479
MCC	0.120735283654133	0.139256285284897	0.187217284933518	0.088546533776732	0.142189098458765
