	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	189	248	851	90	443
TN	2099	2072	1872	2104	2008
FP	28	55	255	23	119
FN	2796	2737	2134	2895	2542
PPV	0.870967741935484	0.818481848184819	0.769439421338155	0.79646017699115	0.788256227758007
NPV	0.428804902962206	0.430858806404658	0.467299051422866	0.420884176835367	0.441318681318681
Sensitivity	0.0633165829145729	0.0830820770519263	0.285092127303183	0.0301507537688442	0.148408710217755
Specificity	0.986835919134932	0.974141984015045	0.880112834978843	0.989186647860837	0.94405265632346
F1_score	0.118051217988757	0.150851581508516	0.416035199217795	0.0581020012911556	0.249788553707358
MCC	0.122614632844603	0.119449926097536	0.197763420437625	0.0648295847733647	0.145694233986133
