	Degree	Closeness	Betweenness	PageRank	Eigenvector
TP	251	273	683	156	310
TN	2042	2048	1860	2068	1994
FP	85	78	267	59	133
FN	2734	2712	2302	2829	2675
PPV	0.74702380952381	0.777777777777778	0.718947368421053	0.725581395348837	0.699774266365689
NPV	0.427554438860971	0.430252100840336	0.446900528592023	0.422299366959363	0.427072178196616
Sensitivity	0.0840871021775544	0.0914572864321608	0.228810720268007	0.0522613065326633	0.103852596314908
Specificity	0.960037611659614	0.963311382878645	0.874471086036671	0.972261401034321	0.937470615890926
F1_score	0.151159289370671	0.163669064748201	0.347141041931385	0.0975	0.180863477246208
MCC	0.0877679625613621	0.106740431087768	0.130878074463764	0.0602199027636765	0.0723996032185514
